"Data","Lançamento","Categoria","Tipo","Valor"
"03/08/2024","Amazon AWS Servicos Br Sao Paulo     BRA","OUTROS","Compra à vista","R$ 5,88"
"29/07/2024","Benaria Laurentino e S Goiania       BRA","SUPERMERCADO","Compra à vista","R$ 10,90"
"29/07/2024","PAG DellicataPaes      GOIANIA       BRA","SUPERMERCADO","Compra à vista","R$ 27,05"
"27/07/2024","R10 AUTO PECAS E ACESS GOIANIA       BRA","OUTROS","Compra à vista","R$ 250,00"
"27/07/2024","EMPORIO RAMOS          APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 20,00"
"27/07/2024","PAG RottaUrbana        APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 12,75"
"26/07/2024","Benaria Laurentino e S Goiania       BRA","SUPERMERCADO","Compra à vista","R$ 10,90"
"26/07/2024","EMPORIO W4             APARECIDA DE  BRA","BARES","Compra à vista","R$ 10,00"
"24/07/2024","PPB EMPORIO 71         Goiania       BRA","SERVICOS","Compra à vista","R$ 20,00"
"22/07/2024","PPB EMPORIO 71         Goiania       BRA","SERVICOS","Compra à vista","R$ 20,00"
"20/07/2024","UAIBEBIDAS             Goinia        BRA","SUPERMERCADO","Compra à vista","R$ 42,00"
"20/07/2024","PAG Bentopereirada     GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 24,00"
"19/07/2024","GOIANIA DRIVE          GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 28,90"
"16/07/2024","DROGASIL 4015          GOIANIA       BRA","DROGARIA","Compra à vista","R$ 15,72"
"14/07/2024","Google YouTube         SAO PAULO     BRA","SERVICOS","Compra à vista","R$ 13,90"
"14/07/2024","EMPORIO W4             APARECIDA DE  BRA","BARES","Compra à vista","R$ 24,00"
"14/07/2024","EMPORIO RAMOS          APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 20,00"
"14/07/2024","PG  TON CICERO LUIZ    APARECIDA DE  BRA","SERVICOS","Compra à vista","R$ 19,50"
"13/07/2024","PTY CAPITAL            Goiania       BRA","SERVICOS","Compra à vista","R$ 90,00"
"13/07/2024","R10 AUTO PECAS E ACESS GOIANIA       BRA","OUTROS","Compra à vista","R$ 20,00"
"11/07/2024","PAG RestauranteNovo    GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 21,30"
"09/07/2024","PAGAMENTO ON LINE","OUTROS","Compra à vista","-R$ 409,45"
"09/07/2024","EMPORIO RAMOS PF       APARECIDA DE  BRA","SUPERMERCADO","Compra à vista","R$ 42,00"
"08/07/2024","FROGPAY EMPORIO 71     GOIANIA       BRA","SUPERMERCADO","Compra à vista","R$ 20,00"
"07/07/2024","MARCELA RIBEIRO MENDES APARECIDA DE  BRA","SERVICOS","Compra à vista","R$ 60,00"
"06/07/2024","PAG Bentopereirada     GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 32,00"
