"Data","Lançamento","Categoria","Tipo","Valor"
"04/01/2024","PAGAMENTO ON LINE","OUTROS","Compra à vista","-R$ 1.663,79"
"02/01/2024","EMP SERRA DOURADA","SUPERMERCADO","Compra à vista","R$ 22,80"
"02/01/2024","PAG*lanchedacrian","SUPERMERCADO","Compra à vista","R$ 9,90"
"01/01/2024","99APP       *99App","TRANSPORTE","Compra à vista","R$ 4,60"
"31/12/2023","ATACADAO 299 AS","COMPRAS","Compra à vista","R$ 26,85"
"31/12/2023","EMPORIO RAMOS PF","SUPERMERCADO","Compra à vista","R$ 12,00"
"31/12/2023","AUTO POSTO JARDIM OLIM","TRANSPORTE","Compra à vista","R$ 10,00"
"30/12/2023","SUP LARANJEIRA","SUPERMERCADO","Compra à vista","R$ 10,51"
"30/12/2023","PAG*EmporioW4","RESTAURANTES","Compra à vista","R$ 29,50"
"30/12/2023","SUP LARANJEIRA","SUPERMERCADO","Compra à vista","R$ 64,90"
"30/12/2023","PADRAODISTRIB","RESTAURANTES","Compra à vista","R$ 4,00"
"30/12/2023","PAG*EmporioW4","RESTAURANTES","Compra à vista","R$ 3,50"
"29/12/2023","PAG*EmporioW4","RESTAURANTES","Compra à vista","R$ 3,50"
"29/12/2023","EMP SERRA DOURADA","SUPERMERCADO","Compra à vista","R$ 21,00"
"28/12/2023","EMP SERRA DOURADA","SUPERMERCADO","Compra à vista","R$ 38,50"
"28/12/2023","PAG*FabricioDeSouza","OUTROS","Compra à vista","R$ 10,00"
"25/12/2023","PG *TON EMPORIO JC","SUPERMERCADO","Compra à vista","R$ 12,00"
"24/12/2023","PG *TON EMPORIO JC","SUPERMERCADO","Compra à vista","R$ 12,00"
"24/12/2023","ATACADAO 299 AS","COMPRAS","Compra à vista","R$ 340,68"
"21/12/2023","PAG*EmporioW4","RESTAURANTES","Compra à vista","R$ 12,00"
"21/12/2023","PAG*EmporioW4","RESTAURANTES","Compra à vista","R$ 3,00"
"21/12/2023","PAG*EmporioW4","RESTAURANTES","Compra à vista","R$ 5,00"
"20/12/2023","PAG*EmporioW4","RESTAURANTES","Compra à vista","R$ 40,00"
"20/12/2023","PAG*EmporioW4","RESTAURANTES","Compra à vista","R$ 8,00"
"20/12/2023","Google RobTop Games","COMPRAS","Compra à vista","R$ 5,49"
"19/12/2023","PAG*EmporioW4","RESTAURANTES","Compra à vista","R$ 39,25"
"17/12/2023","PAG*EmporioW4","RESTAURANTES","Compra à vista","R$ 28,00"
"16/12/2023","EMPORIO RAMOS PF","SUPERMERCADO","Compra à vista","R$ 40,00"
"16/12/2023","PADRAODISTRIB","RESTAURANTES","Compra à vista","R$ 14,00"
"15/12/2023","PAG*CervejariaDias","OUTROS","Compra à vista","R$ 94,80"
"13/12/2023","DM*Spotify","PAGAMENTOS","Compra à vista","R$ 21,90"
"11/12/2023","PAG*lanchedacrian","SUPERMERCADO","Compra à vista","R$ 9,90"
"11/12/2023","EMP SERRA DOURADA","SUPERMERCADO","Compra à vista","R$ 30,60"
"10/12/2023","PAG*EmporioW4","RESTAURANTES","Compra à vista","R$ 8,00"
"10/12/2023","PAG*EmporioW4","RESTAURANTES","Compra à vista","R$ 8,00"
"10/12/2023","PAG*EmporioW4","RESTAURANTES","Compra à vista","R$ 4,00"
"10/12/2023","PAG*EmporioW4","RESTAURANTES","Compra à vista","R$ 34,00"
"09/12/2023","PAG*RottaUrbana","RESTAURANTES","Compra à vista","R$ 15,70"
"08/12/2023","99APP       *99App","TRANSPORTE","Compra à vista","R$ 3,50"
"08/12/2023","PAG*Izabelafrancinela","SUPERMERCADO","Compra à vista","R$ 12,00"
"05/12/2023","CELIAC ODONTOLOGIA","SAUDE","Compra à vista","R$ 150,00"
"04/12/2023","C.I.R.O CENTRO INTEGR","SAUDE","Compra à vista","R$ 80,00"
"02/12/2023","PAG*EmporioW4","RESTAURANTES","Compra à vista","R$ 4,00"
"02/12/2023","PAG*EmporioW4","RESTAURANTES","Compra à vista","R$ 11,00"
"02/12/2023","BERLINF*AUTO POSTO NOR","TRANSPORTE","Compra à vista","R$ 166,61"
"01/12/2023","EMPORIO RAMOS","SUPERMERCADO","Compra à vista","R$ 90,00"
"29/11/2023","PAGAMENTO DE FATURA","OUTROS","Compra à vista","-R$ 785,54"
"29/11/2023","PAG*Izabelafrancinela","SUPERMERCADO","Compra à vista","R$ 20,00"
"28/11/2023","PINBANK*EMPORIO SERRA","SUPERMERCADO","Compra à vista","R$ 21,30"
"28/11/2023","PAG*Izabelafrancinela","SUPERMERCADO","Compra à vista","R$ 7,50"
"25/11/2023","EMPORIO RAMOS PF","SUPERMERCADO","Compra à vista","R$ 40,00"
