"Data","Lançamento","Categoria","Tipo","Valor"
"05/03/2024","PAGAMENTO ON LINE","OUTROS","Compra à vista","-R$ 118,05"
"29/02/2024","PAG RestauranteNovo","RESTAURANTES","Compra à vista","R$ 30,69"
"29/02/2024","Uber    UBER    TRIP","TRANSPORTE","Compra à vista","R$ 9,21"
"28/02/2024","Uber    UBER    TRIP","TRANSPORTE","Compra à vista","R$ 4,75"
"27/02/2024","99APP        99App","TRANSPORTE","Compra à vista","R$ 7,30"
"27/02/2024","Uber    UBER    TRIP","TRANSPORTE","Compra à vista","R$ 5,16"
"24/02/2024","EMPORIO RAMOS","SUPERMERCADO","Compra à vista","R$ 32,90"
"24/02/2024","Uber    UBER    TRIP","TRANSPORTE","Compra à vista","R$ 8,88"
"23/02/2024","Uber    UBER    TRIP","TRANSPORTE","Compra à vista","R$ 8,26"
"23/02/2024","Uber    UBER    TRIP","TRANSPORTE","Compra à vista","R$ 6,30"
"22/02/2024","99APP        99App","TRANSPORTE","Compra à vista","R$ 4,60"
"21/02/2024","PAGAMENTO ON LINE","OUTROS","Compra à vista","-R$ 1.231,05"
"17/02/2024","EMPORIOMIX","OUTROS","Compra à vista","R$ 36,49"
"17/02/2024","EMPORIOMIX","OUTROS","Compra à vista","R$ 58,00"
"17/02/2024","BURITI PARTICIPACOES E","OUTROS","Compra à vista","R$ 7,00"
"16/02/2024","EMPORIO SOUZA","RESTAURANTES","Compra à vista","R$ 20,00"
"15/02/2024","99APP        99App","TRANSPORTE","Compra à vista","R$ 6,40"
"15/02/2024","PAG DonaDeusa","RESTAURANTES","Compra à vista","R$ 17,50"
"12/02/2024","NUBIA CONCEICAO CRUVIN","COMPRAS","Compra à vista","R$ 78,00"
"11/02/2024","MASTER ADEGA E TABACO","SUPERMERCADO","Compra à vista","R$ 36,00"
"11/02/2024","ARMAZEM DAS BEBIDAS","BARES","Compra à vista","R$ 28,00"
"10/02/2024","POSTO SANTA LUZIA","TRANSPORTE","Compra à vista","R$ 10,00"
"10/02/2024","EMPORIO RAMOS PF","SUPERMERCADO","Compra à vista","R$ 20,00"
"10/02/2024","PAGAMENTO ON LINE","OUTROS","Compra à vista","-R$ 1.496,67"
"08/02/2024","PAG Izabelafrancinela","SUPERMERCADO","Compra à vista","R$ 12,50"
"08/02/2024","Uber    UBER    TRIP","TRANSPORTE","Compra à vista","R$ 5,34"
"07/02/2024","99APP        99App","TRANSPORTE","Compra à vista","R$ 4,80"
"07/02/2024","99APP        99App","TRANSPORTE","Compra à vista","R$ 10,50"
"07/02/2024","PAG Izabelafrancinela","SUPERMERCADO","Compra à vista","R$ 2,50"
"06/02/2024","PAG Izabelafrancinela","SUPERMERCADO","Compra à vista","R$ 14,50"
"06/02/2024","Uber    UBER    TRIP","TRANSPORTE","Compra à vista","R$ 5,21"
"16/01/2024","CELIAC ODONTOLOGIA","SAUDE","Parcela 2/3","R$ 433,33"
"06/01/2024","NFS ARAGUAIA","ESPORTES","Parcela 2/2","R$ 199,99"
"06/01/2024","NFS ARAGUAIA","ESPORTES","Parcela 2/4","R$ 224,99"
