"Data","Lançamento","Categoria","Tipo","Valor"
"29/10/2025","Shopee SHOPEE ANJGGsto Sao Paulo     BRA","COMPRAS","Compra à vista","R$ 29,99"
"27/10/2025","RESTAURANTE NOVO SABOR GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 33,95"
"27/10/2025","CLARO FLEX             SAO PAULO     BRA","OUTROS","Compra à vista","R$ 39,99"
"27/10/2025","IFD          ZAMP SA   GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 7,90"
"26/10/2025","PIX CRED A VISTA","OUTROS","Compra à vista","R$ 800,00"
"26/10/2025","JUROS PIX CREDITO","OUTROS","Compra à vista","R$ 30,27"
"26/10/2025","F M DOS SANTOS SILVA   APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 85,78"
"26/10/2025","F M DOS SANTOS SILVA   APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 90,28"
"26/10/2025","IOF ADICIONAL DB PF","OUTROS","Compra à vista","R$ 3,04"
"26/10/2025","IOF DIARIO DB PF","OUTROS","Compra à vista","R$ 0,79"
"26/10/2025","EMPORIO RAMOS          APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 50,00"
"25/10/2025","EMPORIO E DISTRIBUIDOR APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 15,00"
"25/10/2025","AUTONOMO               APARECIDA DE  BRA","COMPRAS","Compra à vista","R$ 6,00"
"25/10/2025","EmporioW5              APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 62,50"
"25/10/2025","EmporioW5              APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 55,00"
"24/10/2025","EMPORIO W4             APARECIDA DE  BRA","BARES","Compra à vista","R$ 5,00"
"23/10/2025","IFD ACAI TOP DELIVERY  GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 11,00"
"22/10/2025","APPLE COM BILL         SAO PAULO     BRA","COMPRAS","Compra à vista","R$ 9,50"
"21/10/2025","DL GOOGLE Brawl        SAO PAULO     BRA","ENTRETENIMENTO","Compra à vista","R$ 9,50"
"21/10/2025","JARDIM GO COMERCIO DE  GOIANIA       BRA","TRANSPORTE","Compra à vista","R$ 196,58"
"20/10/2025","Google Crunchyroll     SAO PAULO     BRA","COMPRAS","Compra à vista","R$ 19,99"
"20/10/2025","IFD 48 934 070 VALDIVI GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 11,50"
"17/10/2025","EMPORIO W4             APARECIDA DE  BRA","BARES","Compra à vista","R$ 27,00"
"17/10/2025","F M DOS SANTOS SILVA   APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 19,25"
"17/10/2025","F M DOS SANTOS SILVA   APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 11,50"
"17/10/2025","MP  EMPORIOW5          APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 5,50"
"17/10/2025","EMPORIO W4             APARECIDA DE  BRA","BARES","Compra à vista","R$ 4,00"
"13/10/2025","Wellhub Gympass BR Gym Sao Paulo     BRA","SERVICOS","Compra à vista","R$ 139,90"
"13/10/2025","SHEIN   Compra Compra  Sao Paulo     BRA","COMPRAS","Parcela 1/2","R$ 34,98"
"11/10/2025","FLASH CAR LUBRIFICAN   GOIANIA       BRA","TRANSPORTE","Parcela 1/3","R$ 135,68"
"11/10/2025","EMPORIO RAMOS          APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 55,00"
"11/10/2025","EMPORIO RAMOS          APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 45,00"
"11/10/2025","F M DOS SANTOS SILVA   APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 95,78"
"10/10/2025","IFD ARCOS DOURADOS COM GOIANA        BRA","RESTAURANTES","Compra à vista","R$ 11,88"
"10/10/2025","EMPORIO E DISTRIBUIDOR APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 52,00"
