"Data","Lançamento","Categoria","Tipo","Valor"
"29/06/2025","Yuzservice             BRASILIA      BRA","RESTAURANTES","Compra à vista","R$ 23,00"
"29/06/2025","EMPORIO E DISTRIBUIDOR APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 12,00"
"29/06/2025","UAI BEBIDAS            GOIANIA       BRA","OUTROS","Compra à vista","R$ 3,00"
"29/06/2025","UAI BEBIDAS            GOIANIA       BRA","OUTROS","Compra à vista","R$ 54,00"
"29/06/2025","Yuzservice             BRASILIA      BRA","RESTAURANTES","Compra à vista","R$ 10,00"
"28/06/2025","EMPORIO E DISTRIBUIDOR APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 13,00"
"28/06/2025","Yuzservice             BRASILIA      BRA","RESTAURANTES","Compra à vista","R$ 30,00"
"28/06/2025","UAI BEBIDAS            GOIANIA       BRA","OUTROS","Compra à vista","R$ 40,00"
"28/06/2025","EMPORIO E DISTRIBUIDOR APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 28,00"
"27/06/2025","CLARO FLEX             SAO PAULO     BRA","OUTROS","Compra à vista","R$ 39,99"
"23/06/2025","MOREIRA DA GENTE       GOIANIA       BRA","SUPERMERCADO","Compra à vista","R$ 5,99"
"23/06/2025","ZIG     STOCKEI COMERC OGOIANIA      BRA","COMPRAS","Compra à vista","R$ 10,00"
"22/06/2025","PG  TIKMAIS GOIAS EC   APARECIDA DE  BRA","VIAGEM","Compra à vista","R$ 22,40"
"21/06/2025","50881065 BRENDA PERE   APARECIDA DE  BRA","BARES","Compra à vista","R$ 4,00"
"21/06/2025","Google Ellation        SAO PAULO     BRA","SERVICOS","Compra à vista","R$ 19,99"
"20/06/2025","50881065 BRENDA PERE   APARECIDA DE  BRA","BARES","Compra à vista","R$ 15,00"
"20/06/2025","PauloAntonioDe         APARECIDA DE  BRA","SERVICOS","Compra à vista","R$ 5,00"
"20/06/2025","50881065 BRENDA PERE   APARECIDA DE  BRA","BARES","Compra à vista","R$ 25,00"
"19/06/2025","UAI BEBIDAS            GOIANIA       BRA","OUTROS","Compra à vista","R$ 6,00"
"19/06/2025","MP  YONE               OSASCO        BRA","RESTAURANTES","Compra à vista","R$ 26,00"
"18/06/2025","Yuzservice             BRASILIA      BRA","RESTAURANTES","Compra à vista","R$ 10,00"
"18/06/2025","Yuzservice             BRASILIA      BRA","RESTAURANTES","Compra à vista","R$ 20,00"
"17/06/2025","DonaDeusa              GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 15,00"
"16/06/2025","DonaDeusa              GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 15,00"
"15/06/2025","SUP LARANJEIRA         APARECIDA DE  BRA","SUPERMERCADO","Compra à vista","R$ 97,06"
"15/06/2025","50881065 BRENDA PERE   APARECIDA DE  BRA","BARES","Compra à vista","R$ 5,50"
"15/06/2025","MP  YONE               OSASCO        BRA","RESTAURANTES","Compra à vista","R$ 54,00"
"14/06/2025","EMPORIO  DISTRIBUID    APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 785,03"
"13/06/2025","Wellhub Gympass BR Gym Sao Paulo     BRA","SERVICOS","Compra à vista","R$ 50,00"
"13/06/2025","Wellhub Gympass BR Gym Sao Paulo     BRA","SERVICOS","Compra à vista","R$ 89,90"
"12/06/2025","HORA DO CAFE           GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 2,00"
"12/06/2025","HORA DO CAFE           GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 8,00"
"09/06/2025","RESTAURANTE NOVO SABOR GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 22,00"
"08/06/2025","EMPORIO MALIBU         Goiania       BRA","RESTAURANTES","Compra à vista","R$ 15,00"
"08/06/2025","50881065 BRENDA PERE   APARECIDA DE  BRA","BARES","Compra à vista","R$ 120,00"
"08/06/2025","ZIG     STOCKEI COMERC OGOIANIA      BRA","COMPRAS","Compra à vista","R$ 21,00"
"08/06/2025","EMPORIO MALIBU         Goiania       BRA","RESTAURANTES","Compra à vista","R$ 27,50"
"08/06/2025","50881065 BRENDA PERE   APARECIDA DE  BRA","BARES","Compra à vista","R$ 22,00"
"07/06/2025","PG  TIKMAIS GOIAS EC   APARECIDA DE  BRA","VIAGEM","Compra à vista","R$ 22,40"
"07/06/2025","50881065 BRENDA PERE   APARECIDA DE  BRA","BARES","Compra à vista","R$ 12,00"
"07/06/2025","PG  TIKMAIS GOIAS EC   APARECIDA DE  BRA","VIAGEM","Compra à vista","R$ 22,40"
"07/06/2025","UAI BEBIDAS            GOIANIA       BRA","OUTROS","Compra à vista","R$ 6,00"
"06/06/2025","PAGAMENTO ON LINE","OUTROS","Compra à vista","-R$ 1.723,90"
"04/06/2025","GracieleSilva          GOIANIA       BRA","SUPERMERCADO","Compra à vista","R$ 6,00"
"02/06/2025","DonaDeusa              GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 15,00"
"02/06/2025","PONTO DOS BOLOS        GOIANIA       BRA","SUPERMERCADO","Compra à vista","R$ 35,00"
"01/06/2025","EMPORIO E DISTRIBUIDOR APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 39,90"
"31/05/2025","YONE                   APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 80,00"
"03/05/2025","R10 AUTO PECAS E ACESS GOIANIA       BRA","OUTROS","Parcela 2/3","R$ 198,33"
"21/09/2024","PortoPneus             GOIANIA       BRA","TRANSPORTE","Parcela 9/10","R$ 69,00"
"14/09/2024","PortoPneus             GOIANIA       BRA","TRANSPORTE","Parcela 9/12","R$ 237,91"
