"Data","Lançamento","Categoria","Tipo","Valor"
"04/11/2024","DonaDeusa              GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 14,50"
"04/11/2024","FORTMIX                APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 4,00"
"02/11/2024","ECHOPE                 ARARAQUARA    BRA","RESTAURANTES","Compra à vista","R$ 39,48"
"02/11/2024","ECHOPE                 ARARAQUARA    BRA","RESTAURANTES","Compra à vista","R$ 39,48"
"01/11/2024","Izabelafrancinela      GOIANIA       BRA","SUPERMERCADO","Compra à vista","R$ 22,00"
"31/10/2024","DonaDeusa              GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 14,50"
"30/10/2024","50881065 BRENDA PERE   APARECIDA DE  BRA","BARES","Compra à vista","R$ 13,50"
"26/10/2024","50881065 BRENDA PERE   APARECIDA DE  BRA","BARES","Compra à vista","R$ 24,00"
"26/10/2024","EMPORIO W4             APARECIDA DE  BRA","BARES","Compra à vista","R$ 20,00"
"25/10/2024","SUP LARANJEIRA         APARECIDA DE  BRA","SUPERMERCADO","Compra à vista","R$ 13,88"
"24/10/2024","BURGER KING            GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 59,90"
"23/10/2024","Izabelafrancinela      GOIANIA       BRA","SUPERMERCADO","Compra à vista","R$ 9,00"
"23/10/2024","50881065 BRENDA PERE   APARECIDA DE  BRA","BARES","Compra à vista","R$ 8,00"
"22/10/2024","QSABOR                 GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 5,00"
"18/10/2024","Izabelafrancinela      GOIANIA       BRA","SUPERMERCADO","Compra à vista","R$ 15,50"
"18/10/2024","POSTO SANTA LUZIA      APARECIDA DE  BRA","TRANSPORTE","Compra à vista","R$ 20,00"
"18/10/2024","PONTO DOS BOLOS        GOIANIA       BRA","SUPERMERCADO","Compra à vista","R$ 31,00"
"15/10/2024","DonaDeusa              GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 14,50"
"14/10/2024","Google YouTube         SAO PAULO     BRA","SERVICOS","Compra à vista","R$ 13,90"
"14/10/2024","EMPORIO W4             APARECIDA DE  BRA","BARES","Compra à vista","R$ 47,50"
"14/10/2024","DonaDeusa              GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 14,50"
"14/10/2024","99APP        99App     Sao Paulo     BRA","TRANSPORTE","Compra à vista","R$ 6,00"
"12/10/2024","EMPORIO W4             APARECIDA DE  BRA","BARES","Compra à vista","R$ 100,00"
"11/10/2024","DonaDeusa              GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 14,50"
"10/10/2024","EMPORIO W4             APARECIDA DE  BRA","BARES","Compra à vista","R$ 3,00"
"10/10/2024","DonaDeusa              GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 14,50"
"10/10/2024","HORA DO CAFE           GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 12,00"
"08/10/2024","DonaDeusa              GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 14,50"
"07/10/2024","RestauranteNovo        GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 29,42"
"07/10/2024","PAGAMENTO ON LINE","OUTROS","Compra à vista","-R$ 993,51"
"06/10/2024","EMPORIO W4             APARECIDA DE  BRA","BARES","Compra à vista","R$ 7,50"
"04/10/2024","VALORI  WALMOR GRILL   GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 116,68"
"21/09/2024","PortoPneus             GOIANIA       BRA","TRANSPORTE","Parcela 2/10","R$ 69,00"
"14/09/2024","PortoPneus             GOIANIA       BRA","TRANSPORTE","Parcela 2/12","R$ 237,91"
