"Data","Lançamento","Categoria","Tipo","Valor"
"29/05/2025","DonaDeusa              GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 15,00"
"28/05/2025","EMPORIO E DISTRIBUIDOR APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 41,25"
"27/05/2025","CLARO FLEX             SAO PAULO     BRA","OUTROS","Compra à vista","R$ 39,99"
"25/05/2025","53897127AnaFlavia      APARECIDA DE  BRA","OUTROS","Compra à vista","R$ 38,00"
"25/05/2025","SOCIAL HOOKAH          GOIANIA       BRA","BARES","Compra à vista","R$ 14,00"
"25/05/2025","50881065 BRENDA PERE   APARECIDA DE  BRA","BARES","Compra à vista","R$ 16,00"
"24/05/2025","50881065 BRENDA PERE   APARECIDA DE  BRA","BARES","Compra à vista","R$ 14,50"
"24/05/2025","SOCIAL HOOKAH          GOIANIA       BRA","BARES","Compra à vista","R$ 14,00"
"24/05/2025","Mariadosocorro         APARECIDA DE  BRA","SUPERMERCADO","Compra à vista","R$ 15,00"
"24/05/2025","EMPORIO JC             APARECIDA DE  BRA","SUPERMERCADO","Compra à vista","R$ 4,00"
"24/05/2025","TEMOTEO                Aparecida de  BRA","SUPERMERCADO","Compra à vista","R$ 39,00"
"24/05/2025","EMPORIO E DISTRIBUIDOR APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 22,50"
"24/05/2025","BENTO PEREIRA DA SILVA GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 8,00"
"23/05/2025","37 145 821 SILVANA AP  GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 16,35"
"23/05/2025","DISTRIBUIDORA E TABACA GOIANIA       BRA","SUPERMERCADO","Compra à vista","R$ 15,50"
"23/05/2025","JonathanJiouDa         GOIANIA       BRA","SERVICOS","Compra à vista","R$ 28,00"
"21/05/2025","Google Ellation        SAO PAULO     BRA","SERVICOS","Compra à vista","R$ 19,99"
"18/05/2025","EMPORIO W4             APARECIDA DE  BRA","BARES","Compra à vista","R$ 15,00"
"18/05/2025","EMPORIO E DISTRIBUIDOR APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 9,75"
"18/05/2025","EMPORIO W4             APARECIDA DE  BRA","BARES","Compra à vista","R$ 7,00"
"16/05/2025","HORA DO CAFE           GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 26,00"
"15/05/2025","JANTINHA OLIVEIRA 86   GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 40,00"
"15/05/2025","JoseLeandro            GOIANIA       BRA","SUPERMERCADO","Compra à vista","R$ 18,00"
"14/05/2025","GracieleSilva          GOIANIA       BRA","SUPERMERCADO","Compra à vista","R$ 6,00"
"13/05/2025","EMPORIO UNIVERSITARIO  GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 5,50"
"13/05/2025","Wellhub Gympass BR Gym Sao Paulo     BRA","SERVICOS","Compra à vista","R$ 89,90"
"12/05/2025","DonaDeusa              GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 15,00"
"11/05/2025","EMPORIO W4             APARECIDA DE  BRA","BARES","Compra à vista","R$ 8,00"
"11/05/2025","50881065 BRENDA PERE   APARECIDA DE  BRA","BARES","Compra à vista","R$ 4,00"
"11/05/2025","50881065 BRENDA PERE   APARECIDA DE  BRA","BARES","Compra à vista","R$ 8,00"
"11/05/2025","50881065 BRENDA PERE   APARECIDA DE  BRA","BARES","Compra à vista","R$ 4,00"
"11/05/2025","50881065 BRENDA PERE   APARECIDA DE  BRA","BARES","Compra à vista","R$ 4,00"
